Iniciando testes do somador 4-bit:
Num1  Num2  ->  Saida  Cout  |  Esperado
   0 +    0 ->  0000  0  |  00000
   0 +    1 ->  0001  0  |  00001
   0 +    2 ->  0010  0  |  00010
   0 +    3 ->  0011  0  |  00011
   0 +    4 ->  0100  0  |  00100
   0 +    5 ->  0101  0  |  00101
   0 +    6 ->  0110  0  |  00110
   0 +    7 ->  0111  0  |  00111
   0 +    8 ->  1000  0  |  01000
   0 +    9 ->  1001  0  |  01001
   0 +   10 ->  1010  0  |  01010
   0 +   11 ->  1011  0  |  01011
   0 +   12 ->  1100  0  |  01100
   0 +   13 ->  1101  0  |  01101
   0 +   14 ->  1110  0  |  01110
   0 +   15 ->  1111  0  |  01111
   1 +    0 ->  0001  0  |  00001
   1 +    1 ->  0010  0  |  00010
   1 +    2 ->  0011  0  |  00011
   1 +    3 ->  0100  0  |  00100
   1 +    4 ->  0101  0  |  00101
   1 +    5 ->  0110  0  |  00110
   1 +    6 ->  0111  0  |  00111
   1 +    7 ->  1000  0  |  01000
   1 +    8 ->  1001  0  |  01001
   1 +    9 ->  1010  0  |  01010
   1 +   10 ->  1011  0  |  01011
   1 +   11 ->  1100  0  |  01100
   1 +   12 ->  1101  0  |  01101
   1 +   13 ->  1110  0  |  01110
   1 +   14 ->  1111  0  |  01111
   1 +   15 ->  0000  1  |  10000
   2 +    0 ->  0010  0  |  00010
   2 +    1 ->  0011  0  |  00011
   2 +    2 ->  0100  0  |  00100
   2 +    3 ->  0101  0  |  00101
   2 +    4 ->  0110  0  |  00110
   2 +    5 ->  0111  0  |  00111
   2 +    6 ->  1000  0  |  01000
   2 +    7 ->  1001  0  |  01001
   2 +    8 ->  1010  0  |  01010
   2 +    9 ->  1011  0  |  01011
   2 +   10 ->  1100  0  |  01100
   2 +   11 ->  1101  0  |  01101
   2 +   12 ->  1110  0  |  01110
   2 +   13 ->  1111  0  |  01111
   2 +   14 ->  0000  1  |  10000
   2 +   15 ->  0001  1  |  10001
   3 +    0 ->  0011  0  |  00011
   3 +    1 ->  0100  0  |  00100
   3 +    2 ->  0101  0  |  00101
   3 +    3 ->  0110  0  |  00110
   3 +    4 ->  0111  0  |  00111
   3 +    5 ->  1000  0  |  01000
   3 +    6 ->  1001  0  |  01001
   3 +    7 ->  1010  0  |  01010
   3 +    8 ->  1011  0  |  01011
   3 +    9 ->  1100  0  |  01100
   3 +   10 ->  1101  0  |  01101
   3 +   11 ->  1110  0  |  01110
   3 +   12 ->  1111  0  |  01111
   3 +   13 ->  0000  1  |  10000
   3 +   14 ->  0001  1  |  10001
   3 +   15 ->  0010  1  |  10010
   4 +    0 ->  0100  0  |  00100
   4 +    1 ->  0101  0  |  00101
   4 +    2 ->  0110  0  |  00110
   4 +    3 ->  0111  0  |  00111
   4 +    4 ->  1000  0  |  01000
   4 +    5 ->  1001  0  |  01001
   4 +    6 ->  1010  0  |  01010
   4 +    7 ->  1011  0  |  01011
   4 +    8 ->  1100  0  |  01100
   4 +    9 ->  1101  0  |  01101
   4 +   10 ->  1110  0  |  01110
   4 +   11 ->  1111  0  |  01111
   4 +   12 ->  0000  1  |  10000
   4 +   13 ->  0001  1  |  10001
   4 +   14 ->  0010  1  |  10010
   4 +   15 ->  0011  1  |  10011
   5 +    0 ->  0101  0  |  00101
   5 +    1 ->  0110  0  |  00110
   5 +    2 ->  0111  0  |  00111
   5 +    3 ->  1000  0  |  01000
   5 +    4 ->  1001  0  |  01001
   5 +    5 ->  1010  0  |  01010
   5 +    6 ->  1011  0  |  01011
   5 +    7 ->  1100  0  |  01100
   5 +    8 ->  1101  0  |  01101
   5 +    9 ->  1110  0  |  01110
   5 +   10 ->  1111  0  |  01111
   5 +   11 ->  0000  1  |  10000
   5 +   12 ->  0001  1  |  10001
   5 +   13 ->  0010  1  |  10010
   5 +   14 ->  0011  1  |  10011
   5 +   15 ->  0100  1  |  10100
   6 +    0 ->  0110  0  |  00110
   6 +    1 ->  0111  0  |  00111
   6 +    2 ->  1000  0  |  01000
   6 +    3 ->  1001  0  |  01001
   6 +    4 ->  1010  0  |  01010
   6 +    5 ->  1011  0  |  01011
   6 +    6 ->  1100  0  |  01100
   6 +    7 ->  1101  0  |  01101
   6 +    8 ->  1110  0  |  01110
   6 +    9 ->  1111  0  |  01111
   6 +   10 ->  0000  1  |  10000
   6 +   11 ->  0001  1  |  10001
   6 +   12 ->  0010  1  |  10010
   6 +   13 ->  0011  1  |  10011
   6 +   14 ->  0100  1  |  10100
   6 +   15 ->  0101  1  |  10101
   7 +    0 ->  0111  0  |  00111
   7 +    1 ->  1000  0  |  01000
   7 +    2 ->  1001  0  |  01001
   7 +    3 ->  1010  0  |  01010
   7 +    4 ->  1011  0  |  01011
   7 +    5 ->  1100  0  |  01100
